frame_no,timestamp,position_px_x-green,position_px_y-green,,Smoothed position y,Smoothed position x,Velocity (px/frame) y,Velocity (px/frame) x,Acceleration (px/frame^2) y,Acceleration (px/frame^2) x,
168,5580.2,597,134,,,,,,,,
169,5616.3,597,138,,138,597,,,,,
170,5648,597,142,,142.3333333,597,4.333333333,0,,,
171,5680.4,597,147,,147.3333333,597,5,0,0.666666667,0,
172,5715.9,597,153,,153.3333333,596.6666667,6,-0.333333333,1,-0.333333333,
173,5747.9,596,160,,160,596.6666667,6.666666667,0,0.666666667,0.333333333,
174,5780.5,597,167,,167.3333333,596.6666667,7.333333333,0,0.666666667,0,
175,5815.9,597,175,,175.6666667,597,8.333333333,0.333333333,1,0.333333333,
176,5848.2,597,185,,185,597,9.333333333,0,1,-0.333333333,
177,5882.5,597,195,,195,597,10,0,0.666666667,0,
178,5916,597,205,,205.6666667,597,10.66666667,0,0.666666667,0,
179,5948.5,597,217,,217,597.3333333,11.33333333,0.333333333,0.666666667,0.333333333,
180,5980,598,229,,229.6666667,597.6666667,12.66666667,0.333333333,1.333333333,-1.13687E-13,
181,6016,598,243,,243,598,13.33333333,0.333333333,0.666666667,1.13687E-13,
182,6047.9,598,257,,257,598,14,0,0.666666667,-0.333333333,
183,6080.1,598,271,,271.6666667,598,14.66666667,0,0.666666667,0,
184,6116.1,598,287,,287,598.3333333,15.33333333,0.333333333,0.666666667,0.333333333,
185,6148.1,599,303,,303.3333333,598.6666667,16.33333333,0.333333333,1,-1.13687E-13,
186,6180,599,320,,320,599,16.66666667,0.333333333,0.333333333,1.13687E-13,
187,6216.7,599,337,,337.6666667,599.3333333,17.66666667,0.333333333,1,0,
188,6247.9,600,356,,356,599.6666667,18.33333333,0.333333333,0.666666667,-1.13687E-13,
189,6283.5,600,375,,375.3333333,600,19.33333333,0.333333333,1,1.13687E-13,
190,6315.9,600,395,,395.6666667,600,20.33333333,0,1,-0.333333333,
191,6350.8,600,417,,416.6666667,600.3333333,21,0.333333333,0.666666667,0.333333333,
192,6380.4,601,438,,438.3333333,601,21.66666667,0.666666667,0.666666667,0.333333333,
193,6416,602,460,,460.6666667,602,22.33333333,1,0.666666667,0.333333333,
194,6448.2,603,484,,483.3333333,602.6666667,22.66666667,0.666666667,0.333333333,-0.333333333,
195,6480.3,603,506,,507,603.3333333,23.66666667,0.666666667,1,1.13687E-13,
196,6515.9,604,531,,530.6666667,603.6666667,23.66666667,0.333333333,-5.68E-14,-0.333333333,
197,6548.3,604,555,,555.3333333,604.6666667,24.66666667,1,1,0.666666667,
198,6580.5,606,580,,580.3333333,605.3333333,25,0.666666667,0.333333333,-0.333333333,
199,6616.1,606,606,,606.3333333,606.3333333,26,1,1,0.333333333,
200,6648,607,633,,633,607,26.66666667,0.666666667,0.666666667,-0.333333333,
201,6684.9,608,660,,660.3333333,608,27.33333333,1,0.666666667,0.333333333,
202,6715.8,609,688,,687.6666667,608.6666667,27.33333333,0.666666667,-1.14E-13,-0.333333333,
203,6747.9,609,715,,715.3333333,609.3333333,27.66666667,0.666666667,0.333333333,1.13687E-13,
204,6781,610,743,,744,610.3333333,28.66666667,1,1,0.333333333,
205,6815.9,612,774,,773,611.3333333,29,1,0.333333333,0,
206,6854.8,612,802,,803.3333333,612.3333333,30.33333333,1,1.333333333,0,
207,6889.9,613,834,,833.6666667,613,30.33333333,0.666666667,-1.14E-13,-0.333333333,
208,6915.7,614,865,,865.3333333,614,31.66666667,1,1.333333333,0.333333333,
209,6948.1,615,897,,897.3333333,615,32,1,0.333333333,0,
210,6980.3,616,930,,,,,,Average:,,gravitational acceleration on table
,,,,,,,Std Deviation,,0.709401709,638.4615385,0.57217352
,,,,,,,0.343523939,,calculated gravitational acceleration,,
,,,,,,,,,9.112418944,,
,,,,,,,,,,,
,,,,,,,,,,309.1715455,3.732805
,,,,,,,,,,,
,,,,,,,,,,0.484256144,
,,,,,,,,,,,Uncertainty
,,,,,,,,,,0.277078542,4.41274486
