Sample #,Major Dia (mm),Minor Dia (mm)
1,17.61,5.46
2,16.47,5.46
3,18.08,6.12
4,16,4.78
5,18.56,6.75
6,16.45,5.89
7,14.5,4.83
8,15.53,5.61
9,19.05,6.33
10,21.2,5.99
11,16.45,5.6
12,21.01,6.45
13,16.54,5.22
14,18.41,5.55
15,18.56,6
16,17.2,5.23
17,16.09,4.99
18,17.55,5.94
19,16.84,5.31
20,18.99,6.92
21,19.86,6.9
22,17.75,5.47
23,16.91,5.56
24,22.71,7.79
25,16.01,5.43
26,20.09,5.83
27,19.27,6.08
28,19.63,6.01
29,15.91,4.74
30,18.86,6.14
31,21.99,7.67
32,19.98,7.03
33,18.26,5.53
34,18.38,6.06
35,18.58,6.56
36,19.06,5.56
37,16.5,5.8
38,18.66,5.62
39,17.37,5.76
40,18.02,6.16
41,16.99,5.94
42,18.66,6.03
43,16.47,5.18
44,20.91,6.04
45,18.19,5.69
46,20.78,6.1
47,18.37,5.94
48,15.69,5.86
49,19.28,6.63
50,16.5,5.19
51,20.07,6.03
52,20.39,6.13
53,16.46,5.67
54,17.42,5.13
55,20.22,7.33
56,17.8,5.74
57,18.74,6.68
58,17.69,5.4
59,17.05,5.57
60,17.65,5.41
61,18.12,5.45
62,14.06,4.95
63,21.05,7.64
64,21.5,7.79
65,15.59,5.76
66,22.16,6.33
67,19.44,6.03
68,17.09,5.82
69,18.19,6.5
70,19.3,6.26
71,20.57,6.07
72,17.7,5.96
73,19.7,5.83
74,18.44,6.43
75,18.85,5.98
76,18.99,5.61
77,25.03,6.31
78,19.08,6.65
79,19.45,6.75
80,16.08,5.95
81,17.85,5.32
82,18.45,6.72
83,19.25,6.35
84,20.52,6.43
85,15.06,4.23
86,18.96,5.72
87,18.32,5.74
88,19.19,6.49
89,15.92,5.17
90,20.56,6.44
91,16.59,5.07
92,17.53,5.26
93,16.58,5.87
94,17.81,6.04
95,13.1,5.68
96,18.65,6.18
97,16.93,5.87
98,19.12,6.16
99,17.48,6.4
100,17.32,5.25
101,16.9,5.57
102,19.53,6.99
103,16.72,5.29
104,18.95,5.69
105,17.72,6.52
106,17.29,5.59
107,21.27,7.24
108,18.78,6.25
109,19.4,6.2
110,14.89,5.15
111,17.33,5.25
112,15.9,5.82
113,16.05,4.74
114,18.89,6.46
115,17.51,6.37
116,18.59,6.77
117,23.51,7.05
118,20.97,6.81
119,15.68,5.8
120,21.23,6.79
121,18.1,5.6
122,17.47,5.82
123,18.47,6
124,14.25,5.46
125,17.84,5.98
126,19.84,6.3
127,15.03,5.65
128,17.82,5.96
129,17.25,5
130,15.84,4.62
131,16.44,5.1
132,19.89,6.99
133,16.31,5.3
134,18.19,5.47
135,19.3,6.34
136,16.65,5.27
137,18.65,5.93
138,17.53,6.17
139,19.4,6.62
140,18.99,6.15
141,16.46,4.72
142,19.48,6.28
143,18.61,5.63
144,19.33,5.63
145,18.29,6.37
146,12.92,4.52
147,17.57,5.5
148,17.32,6.01
149,20.16,5.82
150,15.88,6.07
151,15.67,4.46
152,18.43,5.57
153,18.88,6.87
154,17.73,5.85
155,18.11,5.89
156,18.79,5.78
157,14.29,5.65
158,17.86,5.72
159,18.22,5.49
160,19.71,5.97
161,19.53,5.77
162,19.56,5.92
163,18.11,6.47
164,14.18,5.32
165,19.14,6.14
166,17.37,6.35
167,17.46,6.41
168,20.28,6.86
169,17.87,6.04
170,17.77,6.42
171,19.22,6.69
172,15.6,5.74
173,19.06,6.45
174,18.38,5.59
175,18.97,5.65
176,18.06,6.16
177,20.53,6.94
178,14.26,5.58
179,20.13,6.13
180,21.63,6.17
181,17.82,6.42
182,20.62,6.18
183,22.54,6.21
184,18.18,5.88
185,15.51,4.69
186,15.61,5.4
187,20.36,6.65
188,19.98,5.81
189,18.32,5.57
190,15.76,5.88
191,21.34,6.1
192,16.57,4.94
193,15.11,5.92
194,16.66,5.92
195,15.79,6.08
196,15.73,4.94
197,11.23,5.8
198,14.52,5.21
199,17.12,6.25
200,20.81,6.37
201,19.27,5.76
202,19.8,6.32
203,17,5.07
204,17.21,5.5
205,20.15,6.48
206,18.92,6.79
207,19.42,5.95
208,18.53,6.72
209,15.41,5.32
210,20.28,6.31
211,17.55,5.62
212,17.42,5.3
213,17.52,5.52
214,20.78,6
215,18.23,5.61
216,16.41,4.99
217,17.19,5.49
218,15.52,5.76
219,21.87,6.23
220,18.84,5.87
221,16.7,5.85
222,18.9,6.36
223,17.76,6.11
224,20.46,5.95
225,21.09,6.57
226,22.35,7.26
227,17.71,5.6
228,15.8,5.73
229,14.25,5.29
230,21.6,7.24
231,17.28,6.09
